entry_time,entry_price,exit_time,exit_price,direction,size,stop_level,exit_reason,raw_pnl,fees,net_pnl,symbol,day,prev_close,prev_atr,upper_level,lower_level,isFiltered,position_size,portfolio_pnl,equity,drawdown
2023-12-05 17:05:00+00:00,2244.9638,2023-12-06 13:00:00+00:00,2264.39,long,1.0,2226.223442857143,end_of_day,19.42619999999988,6.764030699999999,12.66216929999988,ETHUSDT,2023-12-05,2213.48,74.96142857142861,2244.9638,2181.9962,False,0.28629747126275346,3.6251470512908344,271.8909900793351,-75.4834547629028
2023-12-06 22:51:00+00:00,2232.2427,2023-12-07 04:05:00+00:00,2251.2053785714284,short,1.0,2251.2053785714284,stop_loss,-18.96267857142857,6.7251721178571415,-25.68785068928571,ETHUSDT,2023-12-06,2264.1,75.85071428571432,2295.9573,2232.2427,False,0.2867643292641145,-7.366359273149738,264.5246308061853,-76.14768302695889
2023-12-07 15:16:00+00:00,2288.2617,2023-12-08 13:00:00+00:00,2364.12,long,1.0,2269.4868785714284,end_of_day,75.85829999999987,6.978572549999996,68.87972744999988,ETHUSDT,2023-12-07,2256.72,75.09928571428576,2288.2617,2225.1783,False,0.2817865744423336,19.40938244665704,283.9340132528423,-74.39752939870243
2023-12-09 08:15:00+00:00,2398.046,2023-12-09 08:37:00+00:00,2378.1852857142853,long,1.0,2378.1852857142853,stop_loss,-19.860714285714494,7.164346928571426,-27.02506121428592,ETHUSDT,2023-12-08,2364.68,79.44285714285719,2398.046,2331.314,False,0.28592527858584843,-7.727148156494309,276.206865096348,-75.09429017506052
2023-12-09 23:34:00+00:00,2327.139,2023-12-10 00:22:00+00:00,2346.847928571429,short,1.0,2346.847928571429,stop_loss,-19.708928571428714,7.010980392857142,-26.719908964285857,ETHUSDT,2023-12-09,2360.25,78.83571428571433,2393.361,2327.139,False,0.28028602782269463,-7.489217147383693,268.7176479489643,-75.76959659448508
2023-12-11 02:04:00+00:00,2317.667,2023-12-11 13:00:00+00:00,2244.14,short,1.0,2337.722357142857,end_of_day,73.52700000000004,6.842710499999996,66.68428950000005,ETHUSDT,2023-12-10,2351.36,80.2214285714286,2385.0530000000003,2317.667,False,0.2679759288601541,17.869784419141933,286.5874323681063,-74.15826928289879
2023-12-11 15:45:00+00:00,2204.1513,2023-12-11 22:55:00+00:00,2227.602907142857,short,1.0,2227.602907142857,stop_loss,-23.45160714285703,6.647631310714285,-30.09923845357132,ETHUSDT,2023-12-11,2243.55,93.80642857142858,2282.9487000000004,2204.1513,False,0.24440749891667576,-7.356479589733998,279.2309527783723,-74.82160669100809
2023-12-12 15:27:00+00:00,2186.2141,2023-12-13 13:00:00+00:00,2184.8,short,1.0,2210.2771357142856,end_of_day,1.4140999999995074,6.556521150000001,-5.1424211500004935,ETHUSDT,2023-12-12,2226.64,96.25214285714289,2267.0659,2186.2141,False,0.23208289768077972,-1.193468001587042,278.0374847767853,-74.92922229180972
2023-12-13 15:36:00+00:00,2226.2024,2023-12-14 13:00:00+00:00,2305.25,long,1.0,2201.5224,end_of_day,79.04760000000033,6.797178599999995,72.25042140000033,ETHUSDT,2023-12-13,2184.74,98.72000000000004,2226.2024,2143.2776,False,0.2253140071124655,16.279031961198303,294.31651673798353,-73.46133391722101
2023-12-15 23:24:00+00:00,2217.0102,2023-12-16 01:23:00+00:00,2243.664842857143,short,1.0,2243.664842857143,stop_loss,-26.65464285714279,6.691012564285714,-33.3456554214285,ETHUSDT,2023-12-15,2261.79,106.6185714285714,2306.5698,2217.0102,False,0.2208369613619598,-7.363953217891232,286.9525635200923,-74.12534522608276
2023-12-17 02:58:00+00:00,2211.9284,2023-12-17 13:00:00+00:00,2218.85,short,1.0,2239.1019714285712,end_of_day,-6.921600000000126,6.646167599999998,-13.567767600000124,ETHUSDT,2023-12-16,2257.58,108.6942857142857,2303.2316,2211.9284,False,0.21119974183325688,-2.8655090143736537,284.0870545057187,-74.3837295931326
2023-12-18 01:40:00+00:00,2174.613,2023-12-18 13:00:00+00:00,2130.12,short,1.0,2201.0576428571426,end_of_day,44.49299999999994,6.457099499999998,38.03590049999994,ETHUSDT,2023-12-17,2219.04,105.7785714285714,2263.467,2174.613,False,0.21485414345763165,8.17217082256719,292.2592253282859,-73.64684090256476
