symbol,strategy_id,signal_time,entry_time,exit_time,direction,entry_price,exit_price,stop_level,tp_level,raw_pnl,fees,net_pnl,exit_reason
ETHUSDT,bb_trendline_rr4,2025-06-17 00:00:00+00:00,2025-06-17 00:00:00+00:00,2025-06-21 21:31:00+00:00,short,2543.26,2230.9040000000005,2621.349,2230.9040000000005,312.35599999999977,14.322492000000002,298.03350799999976,take_profit_rr
ETHUSDT,bb_trendline_rr4,2025-06-21 22:00:00+00:00,2025-06-21 22:00:00+00:00,2025-06-23 22:23:00+00:00,short,2280.29,2413.1295,2413.1295,1748.9319999999998,-132.83950000000004,14.0802585,-146.91975850000006,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-06-25 16:00:00+00:00,2025-06-25 16:00:00+00:00,2025-06-25 19:22:00+00:00,short,2404.37,2437.253,2437.253,2272.837999999999,-32.883000000000266,14.524868999999999,-47.40786900000026,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-06-26 02:00:00+00:00,2025-06-26 02:00:00+00:00,2025-06-26 13:13:00+00:00,long,2457.92,2427.808,2427.808,2578.3680000000004,-30.11200000000008,14.657184,-44.76918400000008,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-06-27 19:00:00+00:00,2025-06-27 19:00:00+00:00,2025-06-28 07:56:00+00:00,short,2393.74,2431.825,2431.825,2241.3999999999996,-38.085000000000036,14.476695,-52.561695000000036,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-06-28 16:00:00+00:00,2025-06-28 16:00:00+00:00,2025-06-29 02:04:00+00:00,long,2435.13,2423.2445,2423.2445,2482.6720000000014,-11.88550000000032,14.5751235,-26.46062350000032,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-06-29 10:00:00+00:00,2025-06-29 10:00:00+00:00,2025-06-29 14:38:00+00:00,long,2446.93,2434.694,2434.694,2495.8739999999993,-12.235999999999876,14.644872,-26.880871999999876,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-06-29 23:00:00+00:00,2025-06-29 23:00:00+00:00,2025-06-30 14:53:00+00:00,long,2501.34,2442.791,2442.791,2735.536,-58.54899999999998,14.832393000000001,-73.38139299999997,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-07-01 15:00:00+00:00,2025-07-01 15:00:00+00:00,2025-07-02 14:26:00+00:00,short,2418.09,2468.5695,2468.5695,2216.1720000000005,-50.479499999999916,14.6599785,-65.13947849999991,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-07-02 16:00:00+00:00,2025-07-02 16:00:00+00:00,2025-07-09 19:37:00+00:00,long,2497.73,2748.886000000001,2434.941,2748.886000000001,251.15600000000086,15.739848000000004,235.41615200000086,take_profit_rr
