type,price,timestamp,entry_price,pnl,entry_timestamp,gross_pnl,fee,exit_reason,bars_held
CLOSE_SHORT,3407.2,166801,3419.85,7.529712500000091,166791.0,12.650000000000091,5.1202875,prediction_reversal_bullish,10.0
OPEN_LONG,3406.69,166802,3406.69,0.0,,,,,
CLOSE_LONG,3396.57,166815,3406.69,-15.22244499999989,166802.0,-10.11999999999989,5.102445,prediction_reversal_bearish,13.0
OPEN_SHORT,3402.38,166816,3402.38,0.0,,,,,
CLOSE_SHORT,3414.4,166855,3402.38,-17.13258499999998,166816.0,-12.019999999999982,5.112585,prediction_reversal_bullish,39.0
OPEN_LONG,3411.56,166857,3411.56,0.0,,,,,
CLOSE_LONG,3410.58,166864,3411.56,-6.096605000000018,166857.0,-0.9800000000000182,5.116605,prediction_reversal_bearish,7.0
OPEN_SHORT,3413.92,166872,3413.92,0.0,,,,,
CLOSE_SHORT,3408.35,166883,3413.92,0.4532975000001631,166872.0,5.570000000000164,5.116702500000001,prediction_reversal_bullish,11.0
OPEN_SHORT,3409.0,166903,3409.0,0.0,,,,,
CLOSE_SHORT,3415.67,166921,3409.0,-11.788502500000073,166903.0,-6.670000000000073,5.1185025,prediction_reversal_bullish,18.0
OPEN_LONG,3405.66,166935,3405.66,0.0,,,,,
CLOSE_LONG,3408.41,166947,3405.66,-2.3605525,166935.0,2.75,5.1105525,prediction_reversal_bearish,12.0
OPEN_SHORT,3412.97,166948,3412.97,0.0,,,,,
CLOSE_SHORT,3416.86,166954,3412.97,-9.012372500000328,166948.0,-3.8900000000003274,5.1223725,prediction_reversal_bullish,6.0
OPEN_LONG,3412.82,166955,3412.82,0.0,,,,,
CLOSE_LONG,3414.44,166961,3412.82,-3.5004450000001093,166955.0,1.6199999999998909,5.120445,prediction_reversal_bearish,6.0
OPEN_SHORT,3416.42,166975,3416.42,0.0,,,,,
CLOSE_SHORT,3429.2,166994,3416.42,-17.914214999999746,166975.0,-12.779999999999745,5.134215,prediction_reversal_bullish,19.0
OPEN_LONG,3431.73,166995,3431.73,0.0,,,,,
CLOSE_LONG,3431.84,167002,3431.73,-5.037677499999872,166995.0,0.11000000000012733,5.1476774999999995,prediction_reversal_bearish,7.0
OPEN_SHORT,3434.1,167003,3434.1,0.0,,,,,
CLOSE_SHORT,3440.34,167009,3434.1,-11.395830000000238,167003.0,-6.2400000000002365,5.155830000000001,prediction_reversal_bullish,6.0
OPEN_SHORT,3446.0,167011,3446.0,0.0,,,,,
CLOSE_SHORT,3441.82,167020,3446.0,-0.9858650000001639,167011.0,4.179999999999836,5.165865,prediction_reversal_bullish,9.0
OPEN_LONG,3432.68,167021,3432.68,0.0,,,,,
CLOSE_LONG,3426.18,167034,3432.68,-11.644145,167021.0,-6.5,5.144145,prediction_reversal_bearish,13.0
OPEN_SHORT,3427.88,167035,3427.88,0.0,,,,,
