type,price,timestamp,entry_price,pnl
CLOSE_SHORT,3100.35,2382,3100.01,-0.33999999999969077
OPEN_LONG,3100.35,2382,3100.35,0.0
CLOSE_LONG,3109.32,2398,3100.35,8.970000000000255
OPEN_SHORT,3109.32,2398,3109.32,0.0
CLOSE_SHORT,3111.38,2410,3109.32,-2.0599999999999454
OPEN_LONG,3111.38,2410,3111.38,0.0
CLOSE_LONG,3112.73,2476,3111.38,1.349999999999909
OPEN_SHORT,3112.73,2476,3112.73,0.0
CLOSE_SHORT,3104.64,2490,3112.73,8.090000000000146
OPEN_LONG,3104.64,2490,3104.64,0.0
CLOSE_LONG,3102.48,2510,3104.64,-2.1599999999998545
OPEN_SHORT,3102.48,2510,3102.48,0.0
CLOSE_SHORT,3098.76,2536,3102.48,3.7199999999998
OPEN_LONG,3098.76,2536,3098.76,0.0
CLOSE_LONG,3096.38,2556,3098.76,-2.380000000000109
OPEN_SHORT,3096.38,2556,3096.38,0.0
CLOSE_SHORT,3098.56,2567,3096.38,-2.1799999999998363
OPEN_LONG,3098.56,2567,3098.56,0.0
CLOSE_LONG,3105.68,2602,3098.56,7.119999999999891
OPEN_SHORT,3105.68,2602,3105.68,0.0
CLOSE_SHORT,3106.49,2614,3105.68,-0.8099999999999454
OPEN_LONG,3106.49,2614,3106.49,0.0
CLOSE_LONG,3104.1,2664,3106.49,-2.3899999999998727
OPEN_SHORT,3104.1,2664,3104.1,0.0
CLOSE_SHORT,3103.3,2679,3104.1,0.7999999999997272
OPEN_LONG,3103.3,2679,3103.3,0.0
CLOSE_LONG,3105.61,2742,3103.3,2.3099999999999454
OPEN_SHORT,3105.61,2742,3105.61,0.0
CLOSE_SHORT,3106.06,2756,3105.61,-0.4499999999998181
OPEN_LONG,3106.06,2756,3106.06,0.0
CLOSE_LONG,3095.89,2800,3106.06,-10.170000000000073
OPEN_SHORT,3095.89,2800,3095.89,0.0
CLOSE_SHORT,3099.3,2806,3095.89,-3.4100000000003092
OPEN_LONG,3099.3,2806,3099.3,0.0
CLOSE_LONG,3100.37,2819,3099.3,1.069999999999709
OPEN_SHORT,3100.37,2819,3100.37,0.0
CLOSE_SHORT,3112.84,2826,3100.37,-12.470000000000255
OPEN_LONG,3112.84,2826,3112.84,0.0
CLOSE_LONG,3106.5,2972,3112.84,-6.3400000000001455
OPEN_SHORT,3106.5,2972,3106.5,0.0
CLOSE_SHORT,3117.36,2984,3106.5,-10.860000000000127
OPEN_LONG,3117.36,2984,3117.36,0.0
CLOSE_LONG,3115.09,3105,3117.36,-2.269999999999982
OPEN_SHORT,3115.09,3105,3115.09,0.0
CLOSE_SHORT,3119.86,3114,3115.09,-4.769999999999982
OPEN_LONG,3119.86,3114,3119.86,0.0
CLOSE_LONG,3107.15,3257,3119.86,-12.710000000000036
OPEN_SHORT,3107.15,3257,3107.15,0.0
CLOSE_SHORT,3106.49,3272,3107.15,0.6600000000003092
OPEN_LONG,3106.49,3272,3106.49,0.0
CLOSE_LONG,3108.98,3358,3106.49,2.4900000000002365
OPEN_SHORT,3108.98,3358,3108.98,0.0
CLOSE_SHORT,3108.51,3369,3108.98,0.4699999999997999
OPEN_LONG,3108.51,3369,3108.51,0.0
CLOSE_LONG,3093.93,3561,3108.51,-14.580000000000382
OPEN_SHORT,3093.93,3561,3093.93,0.0
CLOSE_SHORT,3100.27,3566,3093.93,-6.3400000000001455
OPEN_LONG,3100.27,3566,3100.27,0.0
CLOSE_LONG,3101.31,3579,3100.27,1.0399999999999636
OPEN_SHORT,3101.31,3579,3101.31,0.0
CLOSE_SHORT,3104.6,3592,3101.31,-3.2899999999999636
OPEN_LONG,3104.6,3592,3104.6,0.0
CLOSE_LONG,3082.12,3645,3104.6,-22.480000000000018
OPEN_SHORT,3082.12,3645,3082.12,0.0
CLOSE_SHORT,3072.38,3657,3082.12,9.739999999999782
OPEN_LONG,3072.38,3657,3072.38,0.0
CLOSE_LONG,3077.9,3668,3072.38,5.519999999999982
OPEN_SHORT,3077.9,3668,3077.9,0.0
CLOSE_SHORT,3088.15,3679,3077.9,-10.25
OPEN_LONG,3088.15,3679,3088.15,0.0
CLOSE_LONG,3098.0,3718,3088.15,9.849999999999909
OPEN_SHORT,3098.0,3718,3098.0,0.0
CLOSE_SHORT,3086.77,3737,3098.0,11.230000000000018
OPEN_LONG,3086.77,3737,3086.77,0.0
CLOSE_LONG,3089.8,3753,3086.77,3.0300000000002
OPEN_SHORT,3089.8,3753,3089.8,0.0
CLOSE_SHORT,3089.07,3771,3089.8,0.7300000000000182
OPEN_LONG,3089.07,3771,3089.07,0.0
CLOSE_LONG,3096.13,3793,3089.07,7.059999999999945
OPEN_SHORT,3096.13,3793,3096.13,0.0
CLOSE_SHORT,3100.62,3800,3096.13,-4.489999999999782
OPEN_LONG,3100.62,3800,3100.62,0.0
CLOSE_LONG,3078.99,3822,3100.62,-21.63000000000011
OPEN_SHORT,3078.99,3822,3078.99,0.0
CLOSE_SHORT,3083.46,3834,3078.99,-4.470000000000255
OPEN_LONG,3083.46,3834,3083.46,0.0
CLOSE_LONG,3080.63,3850,3083.46,-2.8299999999999272
OPEN_SHORT,3080.63,3850,3080.63,0.0
CLOSE_SHORT,3075.6,3863,3080.63,5.0300000000002
OPEN_LONG,3075.6,3863,3075.6,0.0
CLOSE_LONG,3076.0,3882,3075.6,0.40000000000009095
OPEN_SHORT,3076.0,3882,3076.0,0.0
CLOSE_SHORT,3081.6,3902,3076.0,-5.599999999999909
OPEN_LONG,3081.6,3902,3081.6,0.0
CLOSE_LONG,3098.0,3935,3081.6,16.40000000000009
OPEN_SHORT,3098.0,3935,3098.0,0.0
CLOSE_SHORT,3089.02,3945,3098.0,8.980000000000018
